"target","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","mouse.time","mouse.corr","mouse.clicked_name","furcht.response","liebenswert.response","rated_image","age.text","gender.response","pc_frequency.response","reaction_games_frequency.response","neuro_1_rev.response","neuro_2.response","neuro_3.response","neuro_4_rev.response","specific_fear_spider.response","specific_fear_snake.response","id","date"
"gesicht2",0,6,6,9,NA,NA,NA,NA,"[0.7523167999997895]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",0,7,7,0,NA,NA,NA,NA,"[0.9347184999996898]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",0,8,8,3,NA,NA,NA,NA,"[0.6524691000004168]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",0,9,9,12,NA,NA,NA,NA,"[1.2852048999993713]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",0,10,10,5,NA,NA,NA,NA,"[0.6520244000003004]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",0,11,11,8,NA,NA,NA,NA,"[0.7175472000008085]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",0,12,12,13,NA,NA,NA,NA,"[1.1511802000004536]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",0,13,13,14,NA,NA,NA,NA,"[1.0348273999998128]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",0,14,14,2,NA,NA,NA,NA,"[0.8678190000000541]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",0,15,15,11,NA,NA,NA,NA,"[0.7674087999994299]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",1,0,16,2,NA,NA,NA,NA,"[0.8019235000001572]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",1,1,17,1,NA,NA,NA,NA,"[0.951572999999371]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",1,2,18,10,NA,NA,NA,NA,"[0.8021711999999752]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",1,3,19,5,NA,NA,NA,NA,"[0.702539799999613]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",1,4,20,15,NA,NA,NA,NA,"[0.8518976000004841]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",1,5,21,3,NA,NA,NA,NA,"[1.3839724999997998]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",1,6,22,7,NA,NA,NA,NA,"[1.3347948000000542]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",1,7,23,11,NA,NA,NA,NA,"[0.8012935999995534]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",1,8,24,0,NA,NA,NA,NA,"[0.6682064999995418]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",1,9,25,4,NA,NA,NA,NA,"[0.6016880999995919]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",1,10,26,8,NA,NA,NA,NA,"[1.9186122000000978]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",1,11,27,9,NA,NA,NA,NA,"[0.8515153999996983]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",1,12,28,14,NA,NA,NA,NA,"[0.9526342999997723]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",1,13,29,12,NA,NA,NA,NA,"[0.7011556999996174]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",1,14,30,6,NA,NA,NA,NA,"[0.8181934000003821]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",1,15,31,13,NA,NA,NA,NA,"[0.7676518999996915]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",2,0,32,11,NA,NA,NA,NA,"[0.8006192000002557]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",2,1,33,7,NA,NA,NA,NA,"[0.7850143999994543]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",2,2,34,0,NA,NA,NA,NA,"[1.6184056000001874]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",2,3,35,1,NA,NA,NA,NA,"[0.8361793000003672]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",2,4,36,6,NA,NA,NA,NA,"[1.0017337999997835]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",2,5,37,4,NA,NA,NA,NA,"[0.8169896999997945]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",2,6,38,15,NA,NA,NA,NA,"[0.5356363999999303]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",2,7,39,8,NA,NA,NA,NA,"[0.8009366000005684]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",2,8,40,3,NA,NA,NA,NA,"[0.7176017000001593]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",2,9,41,13,NA,NA,NA,NA,"[0.8362051000003703]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",2,10,42,9,NA,NA,NA,NA,"[1.3680005999995046]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",2,11,43,10,NA,NA,NA,NA,"[0.8670441000003848]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",2,12,44,12,NA,NA,NA,NA,"[1.1013208000003942]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",2,13,45,5,NA,NA,NA,NA,"[0.9692457999999533]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",2,14,46,2,NA,NA,NA,NA,"[1.0687969000000521]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",2,15,47,14,NA,NA,NA,NA,"[0.9198702000003323]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",3,0,48,11,NA,NA,NA,NA,"[0.7842060000002675]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",3,1,49,3,NA,NA,NA,NA,"[1.3346564000003127]","[]","[]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",3,2,50,6,NA,NA,NA,NA,"[0.9520572000001266]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",3,3,51,4,NA,NA,NA,NA,"[0.5679581999993388]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",3,4,52,13,NA,NA,NA,NA,"[1.9339944000003015]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",3,5,53,10,NA,NA,NA,NA,"[0.9867826999998215]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",3,6,54,0,NA,NA,NA,NA,"[0.9700687000004109]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",3,7,55,14,NA,NA,NA,NA,"[1.0847094000000652]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",3,8,56,12,NA,NA,NA,NA,"[0.7172588999983418]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",3,9,57,5,NA,NA,NA,NA,"[1.4352211999994324]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",3,10,58,15,NA,NA,NA,NA,"[0.8860365000000456]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",3,11,59,1,NA,NA,NA,NA,"[1.0344724000005954]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",3,12,60,7,NA,NA,NA,NA,"[0.836521499999435]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",3,13,61,9,NA,NA,NA,NA,"[0.7674110000007204]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",3,14,62,2,NA,NA,NA,NA,"[1.3371824999994715]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",3,15,63,8,NA,NA,NA,NA,"[1.1344394999996439]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",4,0,64,4,NA,NA,NA,NA,"[1.0348776999999245]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",4,1,65,7,NA,NA,NA,NA,"[0.9019692999991094]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",4,2,66,1,NA,NA,NA,NA,"[0.9693157999990945]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",4,3,67,8,NA,NA,NA,NA,"[0.6667040000011184]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",4,4,68,9,NA,NA,NA,NA,"[1.1353180999994947]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",4,5,69,11,NA,NA,NA,NA,"[0.702080199998818]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",4,6,70,6,NA,NA,NA,NA,"[1.1182764999994106]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",4,7,71,15,NA,NA,NA,NA,"[0.9194732000014483]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",4,8,72,2,NA,NA,NA,NA,"[1.0005779000002804]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",4,9,73,14,NA,NA,NA,NA,"[1.1189240999992762]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",4,10,74,5,NA,NA,NA,NA,"[0.8524192000004405]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",4,11,75,3,NA,NA,NA,NA,"[1.8356733000000531]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",4,12,76,12,NA,NA,NA,NA,"[0.6519668999990245]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",4,13,77,13,NA,NA,NA,NA,"[0.8526875000006839]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",4,14,78,0,NA,NA,NA,NA,"[2.1344119000004866]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",4,15,79,10,NA,NA,NA,NA,"[0.7184479000006831]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,0,0,0,0,"","","","4","2","spinne1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,1,0,1,0,"","","","4","2","gesicht4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,2,0,2,0,"","","","1","5","zug1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,3,0,3,0,"","","","4","1","gruppe2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,4,0,4,0,"","","","2","2","person2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","21","1","2","1","2","4","2","2","3","2","001198","2023-11-13"
"",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",0,0,0,0,NA,NA,NA,NA,"[1.051652300000569]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",0,1,1,12,NA,NA,NA,NA,"[2.069150199999058]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",0,2,2,9,NA,NA,NA,NA,"[0.7851279999995313]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",0,3,3,5,NA,NA,NA,NA,"[0.8509125000000495]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",0,4,4,11,NA,NA,NA,NA,"[0.668634399999064]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",0,5,5,8,NA,NA,NA,NA,"[0.7352482999995118]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",0,6,6,6,NA,NA,NA,NA,"[0.9353305000004184]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",0,7,7,7,NA,NA,NA,NA,"[1.2519962999995187]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",0,8,8,10,NA,NA,NA,NA,"[0.7699827999986155]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",0,9,9,14,NA,NA,NA,NA,"[1.0026307999996789]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",0,10,10,3,NA,NA,NA,NA,"[1.4848598000007769]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",0,11,11,4,NA,NA,NA,NA,"[1.0355885999997554]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",0,12,12,2,NA,NA,NA,NA,"[0.985542099999293]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",0,13,13,13,NA,NA,NA,NA,"[1.4669066999995266]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",0,14,14,15,NA,NA,NA,NA,"[1.001202800000101]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",0,15,15,1,NA,NA,NA,NA,"[0.9345042999993893]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",1,0,16,0,NA,NA,NA,NA,"[1.3348354999998264]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",1,1,17,2,NA,NA,NA,NA,"[0.9338174000004074]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",1,2,18,12,NA,NA,NA,NA,"[0.8514625000007072]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",1,3,19,10,NA,NA,NA,NA,"[0.5845408000004682]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",1,4,20,7,NA,NA,NA,NA,"[0.8692009999995207]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",1,5,21,4,NA,NA,NA,NA,"[0.6523318999988987]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",1,6,22,9,NA,NA,NA,NA,"[0.5852104000005056]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",1,7,23,3,NA,NA,NA,NA,"[1.5850537000005716]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",1,8,24,6,NA,NA,NA,NA,"[1.2349932999986777]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",1,9,25,14,NA,NA,NA,NA,"[3.818715199999133]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",1,10,26,8,NA,NA,NA,NA,"[0.719009599999481]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",1,11,27,15,NA,NA,NA,NA,"[1.4200012000001152]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",1,12,28,13,NA,NA,NA,NA,"[1.400163899999825]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",1,13,29,11,NA,NA,NA,NA,"[0.8363860000008572]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",1,14,30,5,NA,NA,NA,NA,"[0.9524568000015279]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",1,15,31,1,NA,NA,NA,NA,"[0.9521973999999318]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",2,0,32,1,NA,NA,NA,NA,"[1.1686000999998214]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",2,1,33,15,NA,NA,NA,NA,"[0.9351586000011594]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",2,2,34,0,NA,NA,NA,NA,"[1.3345084000011411]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",2,3,35,9,NA,NA,NA,NA,"[0.7348020999997971]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht4",2,4,36,11,NA,NA,NA,NA,"[0.5855277000009664]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",2,5,37,13,NA,NA,NA,NA,"[1.4855774000006932]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person1",2,6,38,4,NA,NA,NA,NA,"[0.9520501999995759]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",2,7,39,8,NA,NA,NA,NA,"[0.8695353999992221]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",2,8,40,3,NA,NA,NA,NA,"[2.1531159999994998]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",2,9,41,10,NA,NA,NA,NA,"[0.635241699999824]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",2,10,42,14,NA,NA,NA,NA,"[0.8177247000003263]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",2,11,43,6,NA,NA,NA,NA,"[1.0354121000000305]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",2,12,44,7,NA,NA,NA,NA,"[0.9844248999997944]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"person2",2,13,45,5,NA,NA,NA,NA,"[0.8348000999994838]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",2,14,46,2,NA,NA,NA,NA,"[0.8521481999996467]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"auto1",2,15,47,12,NA,NA,NA,NA,"[0.9184666999990441]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe2",3,0,48,7,NA,NA,NA,NA,"[1.0191809000007197]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht1",3,1,49,8,NA,NA,NA,NA,"[0.6845585000010033]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gruppe1",3,2,50,6,NA,NA,NA,NA,"[0.8015233999994962]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"flugzeug1",3,3,51,13,NA,NA,NA,NA,"[1.1869250999989163]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"zug1",3,4,52,15,NA,NA,NA,NA,"[0.9521336999987398]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange1",3,5,53,2,NA,NA,NA,NA,"[1.0509577000011632]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne1",3,6,54,0,NA,NA,NA,NA,"[1.2682557999996789]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schlange2",3,7,55,3,NA,NA,NA,NA,"[1.9021899999988818]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht2",3,8,56,9,NA,NA,NA,NA,"[0.8026647999995475]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"gesicht3",3,9,57,10,NA,NA,NA,NA,"[0.48622230000000854]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"schiff1",3,10,58,14,NA,NA,NA,NA,"[1.234866200000397]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
"spinne2",3,11,59,1,NA,NA,NA,NA,"[1.0858764999993582]","[1]","['target_find']",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001198","2023-11-13"
